Throughput, wifiratio, wigiratio
2021.8,24.6,75.4
2033.8,0.0,100.0
2027.2,29.4,70.6
1837.0,36.8,63.2
1882.0,0.0,100.0
2030.8,21.4,78.6
1877.1,37.2,62.8
1972.8,26.3,73.7
2001.9,29.1,70.9
2021.1,31.2,68.8
2009.4,31.3,68.7
2015.9,44.9,55.1
1996.0,34.1,65.9
2001.1,0.0,100.0
1826.8,14.4,85.6
1855.1,17.9,82.1
1841.0,22.2,77.8
1864.2,19.9,80.1
1928.4,25.6,74.4
2058.4,23.8,76.2
2064.3,7.5,92.5
2025.8,27.5,72.5
2015.6,44.4,55.6
2023.2,12.3,87.7
2068.1,37.8,62.2
2053.5,44.7,55.3
2077.2,44.6,55.4
2020.1,0.0,100.0
2026.0,15.2,84.8
1985.5,1.5,98.5
2013.0,25.4,74.6
2024.5,28.6,71.4
2021.6,18.1,81.9
2009.1,25.0,75.0
1998.7,0.0,100.0
1982.8,27.0,73.0
2009.3,21.2,78.8
2054.0,29.8,70.2
2003.6,27.0,73.0
2049.8,20.4,79.6
2058.9,15.9,84.1
2020.0,28.6,71.4
2024.1,0.0,100.0
2047.8,17.8,82.2
2065.8,22.7,77.3
2027.0,9.5,90.5
2021.9,24.6,75.4
2041.2,17.3,82.7
2030.2,30.5,69.5
1981.2,20.8,79.2
2030.4,41.2,58.8
2058.0,19.9,80.1
2029.2,26.8,73.2
2026.2,24.9,75.1
2030.3,14.8,85.2
1875.6,26.1,73.9
1997.3,70.4,29.6
1998.4,23.8,76.2
1651.0,18.3,81.7
1806.8,100.0,0.0
1833.4,21.4,78.6
1989.6,14.6,85.4
2033.4,20.4,79.6
1978.5,40.7,59.3
2027.0,13.9,86.1
2025.9,25.5,74.5
1999.2,0.0,100.0
1721.1,12.1,87.9
1765.6,1.2,98.8
1741.0,53.4,46.6
1761.4,7.6,92.4
1768.0,12.1,87.9
1743.8,0.0,100.0
1773.9,50.0,50.0
1753.0,11.1,88.9
1748.2,9.3,90.7
1758.1,8.8,91.2
1756.5,23.7,76.3
1734.7,55.3,44.7
1756.6,5.9,94.1
1709.2,8.2,91.8
1691.5,5.9,94.1
1719.0,5.4,94.6
1728.6,0.0,100.0
1527.7,34.2,65.8
1616.5,3.6,96.4
1732.5,11.1,88.9
1751.8,0.0,100.0
1729.0,0.0,100.0
1792.8,1.5,98.5
1765.7,10.8,89.2
1769.5,0.0,100.0
1719.3,0.0,100.0
1748.7,25.1,74.9
1741.9,9.4,90.6
1708.9,11.5,88.5
1629.6,10.2,89.8
1759.6,0.0,100.0
1573.8,0.0,100.0
1735.3,24.1,75.9
1778.9,16.6,83.4
1767.4,10.2,89.8
1748.0,8.9,91.1
1740.0,11.9,88.1
1783.0,0.0,100.0
1791.5,0.0,100.0
1774.3,10.0,90.0
1778.6,11.0,89.0
