Time, IP-address, port, IP-address, port, num, rand, bytes, Throughput
20220706195004,192.168.1.2,56342,192.168.1.3,5001,1,68.0-69.0,119298120,954384960
20220706195005,192.168.1.2,56342,192.168.1.3,5001,1,69.0-70.0,134416928,1075335424
20220706195006,192.168.1.2,56342,192.168.1.3,5001,1,70.0-71.0,185077576,1480620608
20220706195007,192.168.1.2,56342,192.168.1.3,5001,1,71.0-72.0,227186268,1817490144
20220706195008,192.168.1.2,56342,192.168.1.3,5001,1,72.0-73.0,219941952,1759535616
20220706195009,192.168.1.2,56342,192.168.1.3,5001,1,73.0-74.0,131932308,1055458464
20220706195010,192.168.1.2,56342,192.168.1.3,5001,1,74.0-75.0,99339812,794718496
20220706195011,192.168.1.2,56342,192.168.1.3,5001,1,75.0-76.0,68275340,546202720
20220706195012,192.168.1.2,56342,192.168.1.3,5001,1,76.0-77.0,72288132,578305056
20220706195013,192.168.1.2,56342,192.168.1.3,5001,1,77.0-78.0,127397128,1019177024
20220706195014,192.168.1.2,56342,192.168.1.3,5001,1,78.0-79.0,55509096,444072768
20220706195015,192.168.1.2,56342,192.168.1.3,5001,1,79.0-80.0,55151420,441211360
20220706195016,192.168.1.2,56342,192.168.1.3,5001,1,80.0-81.0,113387012,907096096
20220706195017,192.168.1.2,56342,192.168.1.3,5001,1,81.0-82.0,144352188,1154817504
20220706195018,192.168.1.2,56342,192.168.1.3,5001,1,82.0-83.0,119846956,958775648
20220706195019,192.168.1.2,56342,192.168.1.3,5001,1,83.0-84.0,187324004,1498592032
20220706195020,192.168.1.2,56342,192.168.1.3,5001,1,84.0-85.0,199949256,1599594048
20220706195021,192.168.1.2,56342,192.168.1.3,5001,1,85.0-86.0,195871000,1566968000
20220706195022,192.168.1.2,56342,192.168.1.3,5001,1,86.0-87.0,160533476,1284267808
20220706195023,192.168.1.2,56342,192.168.1.3,5001,1,87.0-88.0,150409756,1203278048
20220706195024,192.168.1.2,56342,192.168.1.3,5001,1,88.0-89.0,102129752,817038016
20220706195025,192.168.1.2,56342,192.168.1.3,5001,1,89.0-90.0,106070796,848566368
20220706195026,192.168.1.2,56342,192.168.1.3,5001,1,90.0-91.0,117722136,941777088
20220706195027,192.168.1.2,56342,192.168.1.3,5001,1,91.0-92.0,131042044,1048336352
20220706195028,192.168.1.2,56342,192.168.1.3,5001,1,92.0-93.0,101009016,808072128
20220706195029,192.168.1.2,56342,192.168.1.3,5001,1,93.0-94.0,175874684,1406997472
20220706195030,192.168.1.2,56342,192.168.1.3,5001,1,94.0-95.0,113244216,905953728
20220706195031,192.168.1.2,56342,192.168.1.3,5001,1,95.0-96.0,94454948,755639584
20220706195032,192.168.1.2,56342,192.168.1.3,5001,1,96.0-97.0,91321468,730571744
20220706195033,192.168.1.2,56342,192.168.1.3,5001,1,97.0-98.0,116798312,934386496
20220706195034,192.168.1.2,56342,192.168.1.3,5001,1,98.0-99.0,111863340,894906720
20220706195035,192.168.1.2,56342,192.168.1.3,5001,1,99.0-100.0,82830264,662642112
20220706195036,192.168.1.2,56342,192.168.1.3,5001,1,100.0-101.0,168714740,1349717920
20220706195037,192.168.1.2,56342,192.168.1.3,5001,1,101.0-102.0,162377952,1299023616
20220706195038,192.168.1.2,56342,192.168.1.3,5001,1,102.0-103.0,180076052,1440608416
20220706195039,192.168.1.2,56342,192.168.1.3,5001,1,103.0-104.0,221140512,1769124096
20220706195040,192.168.1.2,56342,192.168.1.3,5001,1,104.0-105.0,143787924,1150303392
20220706195041,192.168.1.2,56342,192.168.1.3,5001,1,105.0-106.0,185967472,1487739776
20220706195042,192.168.1.2,56342,192.168.1.3,5001,1,106.0-107.0,147021796,1176174368
20220706195043,192.168.1.2,56342,192.168.1.3,5001,1,107.0-108.0,102939924,823519392
20220706195044,192.168.1.2,56342,192.168.1.3,5001,1,108.0-109.0,157838376,1262707008
20220706195045,192.168.1.2,56342,192.168.1.3,5001,1,109.0-110.0,85237096,681896768
20220706195046,192.168.1.2,56342,192.168.1.3,5001,1,110.0-111.0,101972240,815777920
20220706195047,192.168.1.2,56342,192.168.1.3,5001,1,111.0-112.0,133458320,1067666560
20220706195048,192.168.1.2,56342,192.168.1.3,5001,1,112.0-113.0,146802392,1174419136
20220706195049,192.168.1.2,56342,192.168.1.3,5001,1,113.0-114.0,61394396,491155168
20220706195050,192.168.1.2,56342,192.168.1.3,5001,1,114.0-115.0,45790552,366324416
20220706195051,192.168.1.2,56342,192.168.1.3,5001,1,115.0-116.0,80285092,642280736
20220706195052,192.168.1.2,56342,192.168.1.3,5001,1,116.0-117.0,158958140,1271665120
20220706195053,192.168.1.2,56342,192.168.1.3,5001,1,117.0-118.0,104713348,837706784
20220706195054,192.168.1.2,56342,192.168.1.3,5001,1,118.0-119.0,122201784,977614272
20220706195055,192.168.1.2,56342,192.168.1.3,5001,1,119.0-120.0,195362880,1562903040
20220706195056,192.168.1.2,56342,192.168.1.3,5001,1,120.0-121.0,159604252,1276834016
20220706195057,192.168.1.2,56342,192.168.1.3,5001,1,121.0-122.0,200772308,1606178464
20220706195058,192.168.1.2,56342,192.168.1.3,5001,1,122.0-123.0,231134680,1849077440
20220706195059,192.168.1.2,56342,192.168.1.3,5001,1,123.0-124.0,187131696,1497053568
20220706195100,192.168.1.2,56342,192.168.1.3,5001,1,124.0-125.0,96953268,775626144
20220706195101,192.168.1.2,56342,192.168.1.3,5001,1,125.0-126.0,93850484,750803872
20220706195102,192.168.1.2,56342,192.168.1.3,5001,1,126.0-127.0,108971324,871770592
20220706195103,192.168.1.2,56342,192.168.1.3,5001,1,127.0-128.0,111337776,890702208
20220706195104,192.168.1.2,56342,192.168.1.3,5001,1,128.0-129.0,155334556,1242676448
20220706195105,192.168.1.2,56342,192.168.1.3,5001,1,129.0-130.0,76355732,610845856
20220706195106,192.168.1.2,56342,192.168.1.3,5001,1,130.0-131.0,46602172,372817376
20220706195107,192.168.1.2,56342,192.168.1.3,5001,1,131.0-132.0,92530232,740241856
20220706195108,192.168.1.2,56342,192.168.1.3,5001,1,132.0-133.0,127608560,1020868480
20220706195109,192.168.1.2,56342,192.168.1.3,5001,1,133.0-134.0,93541080,748328640
20220706195110,192.168.1.2,56342,192.168.1.3,5001,1,134.0-135.0,133435344,1067482752
20220706195111,192.168.1.2,56342,192.168.1.3,5001,1,135.0-136.0,137956668,1103653344
20220706195112,192.168.1.2,56342,192.168.1.3,5001,1,136.0-137.0,163106060,1304848480
20220706195113,192.168.1.2,56342,192.168.1.3,5001,1,137.0-138.0,211113172,1688905376
20220706195114,192.168.1.2,56342,192.168.1.3,5001,1,138.0-139.0,147131844,1177054752
20220706195115,192.168.1.2,56342,192.168.1.3,5001,1,139.0-140.0,175552500,1404420000
20220706195116,192.168.1.2,56342,192.168.1.3,5001,1,140.0-141.0,117758832,942070656
20220706195117,192.168.1.2,56342,192.168.1.3,5001,1,141.0-142.0,141313308,1130506464
20220706195118,192.168.1.2,56342,192.168.1.3,5001,1,142.0-143.0,119970760,959766080
20220706195119,192.168.1.2,56342,192.168.1.3,5001,1,143.0-144.0,95599480,764795840
20220706195120,192.168.1.2,56342,192.168.1.3,5001,1,144.0-145.0,137593748,1100749984
20220706195121,192.168.1.2,56342,192.168.1.3,5001,1,145.0-146.0,86658336,693266688
20220706195122,192.168.1.2,56342,192.168.1.3,5001,1,146.0-147.0,53915440,431323520
20220706195123,192.168.1.2,56342,192.168.1.3,5001,1,147.0-148.0,107032172,856257376
20220706195124,192.168.1.2,56342,192.168.1.3,5001,1,148.0-149.0,122729672,981837376
20220706195125,192.168.1.2,56342,192.168.1.3,5001,1,149.0-150.0,87719472,701755776
20220706195126,192.168.1.2,56342,192.168.1.3,5001,1,150.0-151.0,98430000,787440000
20220706195127,192.168.1.2,56342,192.168.1.3,5001,1,151.0-152.0,143520484,1148163872
20220706195128,192.168.1.2,56342,192.168.1.3,5001,1,152.0-153.0,161734108,1293872864
20220706195129,192.168.1.2,56342,192.168.1.3,5001,1,153.0-154.0,179792448,1438339584
