Time, IP-address, port, IP-address, port, num, rand, bytes, Throughput
20220705195500,192.168.10.231,51368,192.168.10.245,5001,1,68.0-69.0,60730568,485844544
20220705195501,192.168.10.231,51368,192.168.10.245,5001,1,69.0-70.0,60383048,483064384
20220705195502,192.168.10.231,51368,192.168.10.245,5001,1,70.0-71.0,58490512,467924096
20220705195503,192.168.10.231,51368,192.168.10.245,5001,1,71.0-72.0,59269536,474156288
20220705195504,192.168.10.231,51368,192.168.10.245,5001,1,72.0-73.0,61235920,489887360
20220705195505,192.168.10.231,51368,192.168.10.245,5001,1,73.0-74.0,61017272,488138176
20220705195506,192.168.10.231,51368,192.168.10.245,5001,1,74.0-75.0,60042768,480342144
20220705195507,192.168.10.231,51368,192.168.10.245,5001,1,75.0-76.0,57313288,458506304
20220705195508,192.168.10.231,51368,192.168.10.245,5001,1,76.0-77.0,61628328,493026624
20220705195509,192.168.10.231,51368,192.168.10.245,5001,1,77.0-78.0,59268088,474144704
20220705195510,192.168.10.231,51368,192.168.10.245,5001,1,78.0-79.0,60194808,481558464
20220705195511,192.168.10.231,51368,192.168.10.245,5001,1,79.0-80.0,61137456,489099648
20220705195512,192.168.10.231,51368,192.168.10.245,5001,1,80.0-81.0,60401872,483214976
20220705195513,192.168.10.231,51368,192.168.10.245,5001,1,81.0-82.0,59853080,478824640
20220705195514,192.168.10.231,51368,192.168.10.245,5001,1,82.0-83.0,59989192,479913536
20220705195515,192.168.10.231,51368,192.168.10.245,5001,1,83.0-84.0,60412008,483296064
20220705195516,192.168.10.231,51368,192.168.10.245,5001,1,84.0-85.0,61813672,494509376
20220705195517,192.168.10.231,51368,192.168.10.245,5001,1,85.0-86.0,58106792,464854336
20220705195518,192.168.10.231,51368,192.168.10.245,5001,1,86.0-87.0,61484976,491879808
20220705195519,192.168.10.231,51368,192.168.10.245,5001,1,87.0-88.0,61848424,494787392
20220705195520,192.168.10.231,51368,192.168.10.245,5001,1,88.0-89.0,61247504,489980032
20220705195521,192.168.10.231,51368,192.168.10.245,5001,1,89.0-90.0,61361896,490895168
20220705195522,192.168.10.231,51368,192.168.10.245,5001,1,90.0-91.0,60952112,487616896
20220705195523,192.168.10.231,51368,192.168.10.245,5001,1,91.0-92.0,61558824,492470592
20220705195524,192.168.10.231,51368,192.168.10.245,5001,1,92.0-93.0,61456504,491652032
20220705195525,192.168.10.231,51368,192.168.10.245,5001,1,93.0-94.0,60687280,485498240
20220705195526,192.168.10.231,51368,192.168.10.245,5001,1,94.0-95.0,58810504,470484032
20220705195527,192.168.10.231,51368,192.168.10.245,5001,1,95.0-96.0,61341920,490735360
20220705195528,192.168.10.231,51368,192.168.10.245,5001,1,96.0-97.0,61342312,490738496
20220705195529,192.168.10.231,51368,192.168.10.245,5001,1,97.0-98.0,61770928,494167424
20220705195530,192.168.10.231,51368,192.168.10.245,5001,1,98.0-99.0,62305768,498446144
20220705195531,192.168.10.231,51368,192.168.10.245,5001,1,99.0-100.0,61657184,493257472
20220705195532,192.168.10.231,51368,192.168.10.245,5001,1,100.0-101.0,61310952,490487616
20220705195533,192.168.10.231,51368,192.168.10.245,5001,1,101.0-102.0,60841496,486731968
20220705195534,192.168.10.231,51368,192.168.10.245,5001,1,102.0-103.0,60829032,486632256
20220705195535,192.168.10.231,51368,192.168.10.245,5001,1,103.0-104.0,60776904,486215232
20220705195536,192.168.10.231,51368,192.168.10.245,5001,1,104.0-105.0,59866112,478928896
20220705195537,192.168.10.231,51368,192.168.10.245,5001,1,105.0-106.0,60180816,481446528
20220705195538,192.168.10.231,51368,192.168.10.245,5001,1,106.0-107.0,61016048,488128384
20220705195539,192.168.10.231,51368,192.168.10.245,5001,1,107.0-108.0,60634472,485075776
20220705195540,192.168.10.231,51368,192.168.10.245,5001,1,108.0-109.0,60036760,480294080
20220705195541,192.168.10.231,51368,192.168.10.245,5001,1,109.0-110.0,58534160,468273280
20220705195542,192.168.10.231,51368,192.168.10.245,5001,1,110.0-111.0,58823040,470584320
20220705195543,192.168.10.231,51368,192.168.10.245,5001,1,111.0-112.0,59021928,472175424
20220705195544,192.168.10.231,51368,192.168.10.245,5001,1,112.0-113.0,60565496,484523968
20220705195545,192.168.10.231,51368,192.168.10.245,5001,1,113.0-114.0,60527848,484222784
20220705195546,192.168.10.231,51368,192.168.10.245,5001,1,114.0-115.0,60009464,480075712
20220705195547,192.168.10.231,51368,192.168.10.245,5001,1,115.0-116.0,61218544,489748352
20220705195548,192.168.10.231,51368,192.168.10.245,5001,1,116.0-117.0,60928944,487431552
20220705195549,192.168.10.231,51368,192.168.10.245,5001,1,117.0-118.0,58897400,471179200
20220705195550,192.168.10.231,51368,192.168.10.245,5001,1,118.0-119.0,60113720,480909760
20220705195551,192.168.10.231,51368,192.168.10.245,5001,1,119.0-120.0,61179448,489435584
20220705195552,192.168.10.231,51368,192.168.10.245,5001,1,120.0-121.0,61490768,491926144
20220705195553,192.168.10.231,51368,192.168.10.245,5001,1,121.0-122.0,60730568,485844544
20220705195554,192.168.10.231,51368,192.168.10.245,5001,1,122.0-123.0,59004552,472036416
20220705195555,192.168.10.231,51368,192.168.10.245,5001,1,123.0-124.0,61104152,488833216
20220705195556,192.168.10.231,51368,192.168.10.245,5001,1,124.0-125.0,59906656,479253248
20220705195557,192.168.10.231,51368,192.168.10.245,5001,1,125.0-126.0,62361016,498888128
20220705195558,192.168.10.231,51368,192.168.10.245,5001,1,126.0-127.0,60468480,483747840
20220705195559,192.168.10.231,51368,192.168.10.245,5001,1,127.0-128.0,61014376,488115008
20220705195600,192.168.10.231,51368,192.168.10.245,5001,1,128.0-129.0,60490200,483921600
20220705195601,192.168.10.231,51368,192.168.10.245,5001,1,129.0-130.0,60801520,486412160
20220705195602,192.168.10.231,51368,192.168.10.245,5001,1,130.0-131.0,59819776,478558208
20220705195603,192.168.10.231,51368,192.168.10.245,5001,1,131.0-132.0,59233336,473866688
20220705195604,192.168.10.231,51368,192.168.10.245,5001,1,132.0-133.0,60426488,483411904
20220705195605,192.168.10.231,51368,192.168.10.245,5001,1,133.0-134.0,59447640,475581120
20220705195606,192.168.10.231,51368,192.168.10.245,5001,1,134.0-135.0,59661944,477295552
20220705195607,192.168.10.231,51368,192.168.10.245,5001,1,135.0-136.0,60420696,483365568
20220705195608,192.168.10.231,51368,192.168.10.245,5001,1,136.0-137.0,59929824,479438592
20220705195609,192.168.10.231,51368,192.168.10.245,5001,1,137.0-138.0,60844960,486759680
20220705195610,192.168.10.231,51368,192.168.10.245,5001,1,138.0-139.0,61067952,488543616
20220705195611,192.168.10.231,51368,192.168.10.245,5001,1,139.0-140.0,62343640,498749120
20220705195612,192.168.10.231,51368,192.168.10.245,5001,1,140.0-141.0,59743032,477944256
20220705195613,192.168.10.231,51368,192.168.10.245,5001,1,141.0-142.0,60070280,480562240
20220705195614,192.168.10.231,51368,192.168.10.245,5001,1,142.0-143.0,59317320,474538560
20220705195615,192.168.10.231,51368,192.168.10.245,5001,1,143.0-144.0,60782696,486261568
20220705195616,192.168.10.231,51368,192.168.10.245,5001,1,144.0-145.0,61180896,489447168
20220705195617,192.168.10.231,51368,192.168.10.245,5001,1,145.0-146.0,61560272,492482176
20220705195618,192.168.10.231,51368,192.168.10.245,5001,1,146.0-147.0,59670632,477365056
20220705195619,192.168.10.231,51368,192.168.10.245,5001,1,147.0-148.0,56618248,452945984
20220705195620,192.168.10.231,51368,192.168.10.245,5001,1,148.0-149.0,55950720,447605760
20220705195621,192.168.10.231,51368,192.168.10.245,5001,1,149.0-150.0,60335264,482682112
20220705195622,192.168.10.231,51368,192.168.10.245,5001,1,150.0-151.0,61321352,490570816
20220705195623,192.168.10.231,51368,192.168.10.245,5001,1,151.0-152.0,58987176,471897408
20220705195624,192.168.10.231,51368,192.168.10.245,5001,1,152.0-153.0,59890728,479125824
20220705195625,192.168.10.231,51368,192.168.10.245,5001,1,153.0-154.0,60526400,484211200
20220705195626,192.168.10.231,51368,192.168.10.245,5001,1,154.0-155.0,59353520,474828160
20220705195627,192.168.10.231,51368,192.168.10.245,5001,1,155.0-156.0,57655016,461240128
20220705195628,192.168.10.231,51368,192.168.10.245,5001,1,156.0-157.0,57744792,461958336
20220705195629,192.168.10.231,51368,192.168.10.245,5001,1,157.0-158.0,61537104,492296832
20220705195630,192.168.10.231,51368,192.168.10.245,5001,1,158.0-159.0,60695816,485566528
20220705195631,192.168.10.231,51368,192.168.10.245,5001,1,159.0-160.0,60860888,486887104
20220705195632,192.168.10.231,51368,192.168.10.245,5001,1,160.0-161.0,61162072,489296576
20220705195633,192.168.10.231,51368,192.168.10.245,5001,1,161.0-162.0,57759216,462073728
20220705195634,192.168.10.231,51368,192.168.10.245,5001,1,162.0-163.0,60491776,483934208
20220705195635,192.168.10.231,51368,192.168.10.245,5001,1,163.0-164.0,61333584,490668672
20220705195636,192.168.10.231,51368,192.168.10.245,5001,1,164.0-165.0,61390856,491126848
20220705195637,192.168.10.231,51368,192.168.10.245,5001,1,165.0-166.0,61873040,494984320
20220705195638,192.168.10.231,51368,192.168.10.245,5001,1,166.0-167.0,61437952,491503616
20220705195639,192.168.10.231,51368,192.168.10.245,5001,1,167.0-168.0,60829296,486634368
20220705195640,192.168.10.231,51368,192.168.10.245,5001,1,168.0-169.0,61406768,491254144
20220705195641,192.168.10.231,51368,192.168.10.245,5001,1,169.0-170.0,60982096,487856768
20220705195642,192.168.10.231,51368,192.168.10.245,5001,1,170.0-171.0,62066248,496529984
20220705195643,192.168.10.231,51368,192.168.10.245,5001,1,171.0-172.0,59505608,476044864
20220705195644,192.168.10.231,51368,192.168.10.245,5001,1,172.0-173.0,60785592,486284736
20220705195645,192.168.10.231,51368,192.168.10.245,5001,1,173.0-174.0,61204064,489632512
20220705195646,192.168.10.231,51368,192.168.10.245,5001,1,174.0-175.0,60902880,487223040
20220705195647,192.168.10.231,51368,192.168.10.245,5001,1,175.0-176.0,60242592,481940736
20220705195648,192.168.10.231,51368,192.168.10.245,5001,1,176.0-177.0,60328024,482624192
20220705195649,192.168.10.231,51368,192.168.10.245,5001,1,177.0-178.0,60503232,484025856
20220705195650,192.168.10.231,51368,192.168.10.245,5001,1,178.0-179.0,60847856,486782848
20220705195651,192.168.10.231,51368,192.168.10.245,5001,1,179.0-180.0,60028288,480226304
20220705195652,192.168.10.231,51368,192.168.10.245,5001,1,180.0-181.0,60894192,487153536
20220705195653,192.168.10.231,51368,192.168.10.245,5001,1,181.0-182.0,60254176,482033408
20220705195654,192.168.10.231,51368,192.168.10.245,5001,1,182.0-183.0,58962560,471700480
20220705195655,192.168.10.231,51368,192.168.10.245,5001,1,183.0-184.0,61248952,489991616
20220705195656,192.168.10.231,51368,192.168.10.245,5001,1,184.0-185.0,60635000,485080000
20220705195657,192.168.10.231,51368,192.168.10.245,5001,1,185.0-186.0,61617952,492943616
20220705195658,192.168.10.231,51368,192.168.10.245,5001,1,186.0-187.0,55225272,441802176
20220705195659,192.168.10.231,51368,192.168.10.245,5001,1,187.0-188.0,60500960,484007680
20220705195700,192.168.10.231,51368,192.168.10.245,5001,1,188.0-189.0,61744488,493955904
20220705195701,192.168.10.231,51368,192.168.10.245,5001,1,189.0-190.0,60654496,485235968
20220705195702,192.168.10.231,51368,192.168.10.245,5001,1,190.0-191.0,61716072,493728576
20220705195703,192.168.10.231,51368,192.168.10.245,5001,1,191.0-192.0,59874416,478995328
20220705195704,192.168.10.231,51368,192.168.10.245,5001,1,192.0-193.0,59720208,477761664
20220705195705,192.168.10.231,51368,192.168.10.245,5001,1,193.0-194.0,60676296,485410368
20220705195706,192.168.10.231,51368,192.168.10.245,5001,1,194.0-195.0,60050440,480403520
20220705195707,192.168.10.231,51368,192.168.10.245,5001,1,195.0-196.0,61436160,491489280
20220705195708,192.168.10.231,51368,192.168.10.245,5001,1,196.0-197.0,59120536,472964288
20220705195709,192.168.10.231,51368,192.168.10.245,5001,1,197.0-198.0,60718080,485744640
20220705195710,192.168.10.231,51368,192.168.10.245,5001,1,198.0-199.0,59911152,479289216
20220705195711,192.168.10.231,51368,192.168.10.245,5001,1,199.0-200.0,61264696,490117568
20220705195712,192.168.10.231,51368,192.168.10.245,5001,1,200.0-201.0,58075296,464602368
20220705195713,192.168.10.231,51368,192.168.10.245,5001,1,201.0-202.0,59091936,472735488
20220705195714,192.168.10.231,51368,192.168.10.245,5001,1,202.0-203.0,58154576,465236608
20220705195715,192.168.10.231,51368,192.168.10.245,5001,1,203.0-204.0,61568960,492551680
20220705195716,192.168.10.231,51368,192.168.10.245,5001,1,204.0-205.0,55845016,446760128
20220705195717,192.168.10.231,51368,192.168.10.245,5001,1,205.0-206.0,60054472,480435776
20220705195718,192.168.10.231,51368,192.168.10.245,5001,1,206.0-207.0,60906512,487252096
20220705195719,192.168.10.231,51368,192.168.10.245,5001,1,207.0-208.0,59904888,479239104
20220705195720,192.168.10.231,51368,192.168.10.245,5001,1,208.0-209.0,59251968,474015744
20220705195721,192.168.10.231,51368,192.168.10.245,5001,1,209.0-210.0,59297456,474379648
20220705195722,192.168.10.231,51368,192.168.10.245,5001,1,210.0-211.0,59790528,478324224
20220705195723,192.168.10.231,51368,192.168.10.245,5001,1,211.0-212.0,58204016,465632128
20220705195724,192.168.10.231,51368,192.168.10.245,5001,1,212.0-213.0,57801264,462410112
20220705195725,192.168.10.231,51368,192.168.10.245,5001,1,213.0-214.0,58741016,469928128
20220705195726,192.168.10.231,51368,192.168.10.245,5001,1,214.0-215.0,59601128,476809024
20220705195727,192.168.10.231,51368,192.168.10.245,5001,1,215.0-216.0,61383616,491068928
20220705195728,192.168.10.231,51368,192.168.10.245,5001,1,216.0-217.0,60604592,484836736
20220705195729,192.168.10.231,51368,192.168.10.245,5001,1,217.0-218.0,60529296,484234368
20220705195730,192.168.10.231,51368,192.168.10.245,5001,1,218.0-219.0,58306616,466452928
20220705195731,192.168.10.231,51368,192.168.10.245,5001,1,219.0-220.0,61729688,493837504
20220705195732,192.168.10.231,51368,192.168.10.245,5001,1,220.0-221.0,61597920,492783360
20220705195733,192.168.10.231,51368,192.168.10.245,5001,1,221.0-222.0,62830168,502641344
20220705195734,192.168.10.231,51368,192.168.10.245,5001,1,222.0-223.0,59922584,479380672
20220705195735,192.168.10.231,51368,192.168.10.245,5001,1,223.0-224.0,61784712,494277696
20220705195736,192.168.10.231,51368,192.168.10.245,5001,1,224.0-225.0,59292704,474341632
20220705195737,192.168.10.231,51368,192.168.10.245,5001,1,225.0-226.0,61537104,492296832
20220705195738,192.168.10.231,51368,192.168.10.245,5001,1,226.0-227.0,62162640,497301120
20220705195739,192.168.10.231,51368,192.168.10.245,5001,1,227.0-228.0,61206960,489655680
20220705195740,192.168.10.231,51368,192.168.10.245,5001,1,228.0-229.0,56529264,452234112
20220705195741,192.168.10.231,51368,192.168.10.245,5001,1,229.0-230.0,53244312,425954496
20220705195742,192.168.10.231,51368,192.168.10.245,5001,1,230.0-231.0,56185296,449482368
20220705195743,192.168.10.231,51368,192.168.10.245,5001,1,231.0-232.0,61299632,490397056
20220705195744,192.168.10.231,51368,192.168.10.245,5001,1,232.0-233.0,62337848,498702784
20220705195745,192.168.10.231,51368,192.168.10.245,5001,1,233.0-234.0,60821792,486574336
20220705195746,192.168.10.231,51368,192.168.10.245,5001,1,234.0-235.0,60114136,480913088
20220705195747,192.168.10.231,51368,192.168.10.245,5001,1,235.0-236.0,58687200,469497600
20220705195748,192.168.10.231,51368,192.168.10.245,5001,1,236.0-237.0,60131536,481052288
20220705195749,192.168.10.231,51368,192.168.10.245,5001,1,237.0-238.0,58557328,468458624
20220705195750,192.168.10.231,51368,192.168.10.245,5001,1,238.0-239.0,58866240,470929920
20220705195751,192.168.10.231,51368,192.168.10.245,5001,1,239.0-240.0,60863440,486907520
20220705195752,192.168.10.231,51368,192.168.10.245,5001,1,240.0-241.0,60685304,485482432
20220705195753,192.168.10.231,51368,192.168.10.245,5001,1,241.0-242.0,60707504,485660032
20220705195754,192.168.10.231,51368,192.168.10.245,5001,1,242.0-243.0,61300976,490407808
20220705195755,192.168.10.231,51368,192.168.10.245,5001,1,243.0-244.0,58095872,464766976
20220705195756,192.168.10.231,51368,192.168.10.245,5001,1,244.0-245.0,60053776,480430208
20220705195757,192.168.10.231,51368,192.168.10.245,5001,1,245.0-246.0,60820344,486562752
20220705195758,192.168.10.231,51368,192.168.10.245,5001,1,246.0-247.0,59370896,474967168
20220705195759,192.168.10.231,51368,192.168.10.245,5001,1,247.0-248.0,60329472,482635776
20220705195800,192.168.10.231,51368,192.168.10.245,5001,1,248.0-249.0,60212184,481697472
20220705195801,192.168.10.231,51368,192.168.10.245,5001,1,249.0-250.0,60351192,482809536
20220705195802,192.168.10.231,51368,192.168.10.245,5001,1,250.0-251.0,59881224,479049792
20220705195803,192.168.10.231,51368,192.168.10.245,5001,1,251.0-252.0,61923264,495386112
20220705195804,192.168.10.231,51368,192.168.10.245,5001,1,252.0-253.0,61764560,494116480
20220705195805,192.168.10.231,51368,192.168.10.245,5001,1,253.0-254.0,59610952,476887616
20220705195806,192.168.10.231,51368,192.168.10.245,5001,1,254.0-255.0,58307432,466459456
20220705195807,192.168.10.231,51368,192.168.10.245,5001,1,255.0-256.0,60995880,487967040
20220705195808,192.168.10.231,51368,192.168.10.245,5001,1,256.0-257.0,61584008,492672064
20220705195809,192.168.10.231,51368,192.168.10.245,5001,1,257.0-258.0,59911960,479295680
20220705195810,192.168.10.231,51368,192.168.10.245,5001,1,258.0-259.0,60306160,482449280
20220705195811,192.168.10.231,51368,192.168.10.245,5001,1,259.0-260.0,61609824,492878592
20220705195812,192.168.10.231,51368,192.168.10.245,5001,1,260.0-261.0,60067704,480541632
20220705195813,192.168.10.231,51368,192.168.10.245,5001,1,261.0-262.0,61510608,492084864
20220705195814,192.168.10.231,51368,192.168.10.245,5001,1,262.0-263.0,60261152,482089216
20220705195815,192.168.10.231,51368,192.168.10.245,5001,1,263.0-264.0,61905912,495247296
20220705195816,192.168.10.231,51368,192.168.10.245,5001,1,264.0-265.0,60640480,485123840
