Throughput, wifiratio, wigiratio
1739.8,27.7,72.3
1187.5,28.0,72.0
819.1,9.4,90.6
978.0,6.8,93.2
1271.6,47.4,52.6
1536.0,17.5,82.5
1531.4,0.0,100.0
1612.6,11.6,88.4
1597.0,50.0,50.0
1424.9,0.0,100.0
1523.7,14.4,85.6
1427.9,23.6,76.4
817.2,21.1,78.9
813.9,28.0,72.0
1173.1,17.8,82.2
1304.4,13.4,86.6
1294.2,0.0,100.0
1484.0,23.3,76.7
1672.0,13.3,86.7
1530.9,9.4,90.6
1702.6,13.4,86.6
1412.3,0.0,100.0
957.3,11.8,88.2
1377.8,10.9,89.1
1434.1,14.0,86.0
1451.2,12.5,87.5
1633.9,1.2,98.8
1696.5,12.1,87.9
1305.2,16.8,83.2
1262.2,17.7,82.3
1259.6,42.4,57.6
1294.3,8.0,92.0
1414.1,17.1,82.9
1438.1,22.4,77.6
1039.8,18.8,81.2
895.8,17.7,82.3
948.2,18.8,81.2
935.6,100.0,0.0
722.8,12.8,87.2
709.2,23.9,76.1
728.7,24.2,75.8
800.9,73.0,27.0
983.5,13.8,86.2
1544.0,18.1,81.9
1483.6,20.5,79.5
1378.3,17.5,82.5
1046.2,0.0,100.0
664.2,15.4,84.6
1044.4,17.9,82.1
1242.8,0.0,100.0
1328.4,16.0,84.0
895.5,19.3,80.7
775.5,0.0,100.0
849.0,33.4,66.6
804.0,23.0,77.0
916.9,24.7,75.3
876.2,23.3,76.7
1047.6,10.8,89.2
1368.2,10.6,89.4
1435.9,14.7,85.3
1561.5,0.0,100.0
1323.0,4.2,95.8
1252.0,13.1,86.9
1445.6,0.0,100.0
1450.5,28.7,71.3
1195.5,17.6,82.4
1330.0,14.7,85.3
1220.5,16.8,83.2
1255.5,0.0,100.0
654.0,0.0,100.0
817.0,23.2,76.8
1327.5,6.8,93.2
1367.4,0.0,100.0
1394.1,11.6,88.4
1319.2,31.5,68.5
718.4,45.1,54.9
562.9,24.2,75.8
1108.1,75.1,24.9
1353.1,23.8,76.2
1736.9,74.4,25.6
1693.6,9.7,90.3
1754.6,0.0,100.0
1773.1,8.8,91.2
1816.7,13.1,86.9
1722.0,100.0,0.0
